Professor,Rating
"Govindarajoo, Geeta",2.78
"Jimenez, Leslie",2.03
"Boikess, Robert",2.24
"Rabeony, Manese",3.94
"Roychowdhury, Lipika",2.83
"Pramanik, Sanhita",2.56
"Hove, Emmanuel",2.55
"Khurana, Vandana",4.7
"Abeywickrama, Chandima",2.42
"Braunstein, Erik",4.09
"Sangari, Harpal",3.09
"Guerra, Francesca",3.31
"Sahni, Seema",3.85
"Dey, Gangotri",2.01
"Orbe, Paul",4.63
"Langowski, Bryan",3.75
"Kornienko, Anna",2.77
"Drwiega, Thomas",4.24
"Kimmel, Paul",4.63
"Hijazi, Hussein",2.42
"Fadeeva, Tatiana",2.98
"Manjikian, Raffi",1.95
"York, Darrin",3.37
"Sethi, Kiranjot",3.09
"Shankar, Nirmala",3.62
"Vitarelli, Michael",4.06
"Patel, Shivani",2.54
"Williams, Milton",4.31
"Patra, Leena",4.77
"Chen, Tracy",2.95
"Allen, Rachel",4.87
"Inamdar, Neelay",3.85
"Patel, Riddhi",4.44
"Pecoraro, Matthew",3.66
"Sadeghipour, Mitra",1.28
"Roth, Heinz",2.0
"Ghosal, Anima",1.25
"Kukrek, Ahmet",3.25
"Warmuth, Ralf",3.55
"Zhang, Hongmei",2.69
"O'Connor, Patrick",2.71
"Altinis, Christine",3.38
"Taylor, John",4.23
"Williams, Lawrence",3.95
"Hinch, Barbara",2.7
"Hall, Gene",1.83
"Shin, Yeunggyo",2.52
"Emenike, Mary",4.84
"Lee, Jeehiun",4.73
"Shi, Zheng",1.25
"Arnold, Edward",2.78
"Halder, Jayati",4.77
"Muniz, Marc",4.55
"Slomko, Danielle",4.1
"Le, Kim-Phuong",3.47
"Cullerton, Denise",4.72
"Dismukes, Gerard",1.05
"Asefa, Tewodros",4.26
"Greenblatt, Martha",1.55
"Li, Jing",2.46
"Waldie, Kate",4.6
"Ebright, Richard",4.34
"Lipke, Mark",3.04
Remsing Richard,4.34
"Shin, Yeung-Gyo",2.52
"Vargas, Cecilia",4.44
"Bandyopadhyay, Rajoshree",3.18
"Maranhao, Jack",2.21
"Bassolino, Donna",2.77
"Urakath, Rijo",4.51
"Khadr, Arwa",2.94
"Zhang, Jianyuan",3.48
"Nieuwkoop, Andrew",4.88
"O'Carroll, Deirdre",3.55
"Case, David",4.38
"Kimmel, Jane",1.39
"Bean, Brynn",4.77
"Mummidi Manuraj, Bhavani Nandhini",4.95
"Baker, John",4.59
"Jones, Taro",4.14
"Khare, Sagar",3.43
"Brennan, John",2.94
"Marvasti, Setareh",3.27
"Lee, Joon",4.73
"Knapp, Spencer",2.57
"Narayanan, Buvaneswari",1.85
"Gu, Yuwei",4.26
"Arnold, Eddy",2.78
"Sousa, Maria",2.99
"Goldman, Alan",4.75
"Izgu, Enver",3.99
"Khan, Rohan",3.65
"Young, Steven",3.78
"Remsing, Rick",4.34
"Khan, Sara",3.09
"Depaolo, Patrick",4.39
"Gbolade, Omolade",3.72
"Rivera Rios, Jean",4.84
