Professor,Rating
"Olabisi, Ronke",1.83
"Hacihaliloglu, Ilker",4.67
"Shoane, George",1.48
"Parekkadan, Biju",2.44
"Labazzo, Kristen",4.79
"Pierce, Mark",3.2
"Berthiaume, Francois",1.87
"Shreiber, David",3.59
"Drzewiecki, Gary",4.28
"Sy, Jay",3.71
"Li, John",4.18
"Craelius, William",2.92
"Langrana, Noshir",3.13
"Cai, Li",2.83
"Gormley, Adam",4.36
"Zahn, Jeffrey",2.67
"Buettner, Helen",3.36
"Tomassone, Maria",3.95
"Androulakis, Ioannis",3.21
"Chiew, Yee",3.7
"Schuster, Benjamin",3.5
"Zhang, Haoran",2.69
"Bertuccio, Alex",3.84
"Ramachandran, Rohit",1.51
"Celik, Fuat",2.44
"Nassif, Hani",2.06
"Brenner, Alfred",4.51
"Yong, Yook-Kong",2.95
"Mazurek, Monica",1.87
"Fahrenfeld, Nicole",4.15
"Gong, Jie",3.69
"Arafa, Mohamed",3.63
"Moon, Franklin",4.75
"Miskewitz, Robert",3.23
Jin Jing,4.64
"Maher, Ali",4.66
"Godrich, Hana",4.47
"Mammone, Richard",2.83
"Caggiano, Michael",3.3
"Petropulu, Athina",1.73
"Burdea, Grigore",2.73
"Orfanidis, Sophocles",2.83
"Sarwate, Anand",3.72
"Javanmard, Mehdi",3.11
Sehajpal Sumati,2.72
McGarvey John,4.45
"Gajic, Zoran",3.1
"Pompili, Dario",1.56
"Trappe, Wade",4.12
"Chen, Yingying",3.81
"Hassan, Umer",3.52
"Spasojevic, Predrag",2.7
"Bajwa, Waheed Uz Zaman",3.51
Striki Maria,2.08
"Marsic, Ivan",2.6
"Najafizadeh, Laleh",4.05
"Dana, Kristin",3.18
"Yuan, Bo",3.85
"Soljanin, Emina",2.18
"Ortiz, Jorge",2.22
"Southard, Phillip",2.39
"Brown, Philip",3.47
"Antoine, Jean Patrick",4.28
"Denda, Mitsunori",2.5
"Scacchioli, Annalisa",2.29
"Cook Chennault, Kimberly",2.67
"Bottega, William",2.92
"Matlock, Thomas",3.33
"Bennett, Harold",1.78
"Rhee, Won-Jong",3.17
"Golden, Martin",4.02
"Santos, Patricia",0.16
"Schmitz, Guido",4.13
"Rosenberg, Eric",2.47
"Guo, Weihong",3.47
"Wicks, Elin",4.27
"Xi, Zhimin",2.59
"Jafari, Mohsen",2.77
"Albin, Susan",3.66
"Ozel, Tugrul",3.18
"Elsayed, E",2.0
"Fabris, Laura",3.98
"Safari, Ahmad",2.8
"Riman, Richard",2.83
"Klein, Lisa",3.61
"Garofalini, Stephen",2.9
"Lehman, Richard",2.83
"Goel, Ashutosh",4.95
"Horvath, Robert",2.17
"Akdogan, Enver",3.67
"Horvath, Robert",3.24
"Wenzel, John",2.94
"Birnie, Dunbar",4.0
"Tsakalakos, Thomas",3.4
"Haber, Richard",2.88
"Demauro, Edward",3.47
"Weng, George",2.63
"Bagchi, Prosenjit",3.32
"Mazzeo, Aaron",2.4
"Gu, Xi",3.43
"Lin, Hao",2.99
"Gea, Hae",2.8
"Yi, Jingang",2.38
"Zou, Qingze",0.63
"Singer, Jonathan",3.09
"Burlion, Laurent",4.42
"Baruh, Haim",2.94
"Benaroya, Haym",4.54
"Muller, Michael",4.12
"Mookerjee, Purusottam",4.35
"Bilgen, Onur",1.88
"Guo, Zhixiong",2.08
"Guo, Yuebin",2.4
"Jaluria, Yogesh",3.89
"Knight, Doyle",3.25
"Lee, Howon",4.15
"Pelegri, Assimina",3.2
"Tse, Stephen",2.9
"Rossi, Todd",2.99
"Tutwiler, Valerie",4.49
"Muzzio, Fernando",4.75
"Wang, Ruoqian",3.17
"Balaguru, Perumalsamy",3.78
"Najm, Husam",4.01
"Jin, Jing",2.38
"Mcgarvey, John",4.45
"Wei, Sheng",1.99
"El Rouayheb, Salim",2.11
"Aliari Zonouz, Saman",1.99
"Lu, Yicheng",3.06
"Sehajpal, Sumati",2.72
Ortiz Jorge,2.22
"Striki, Maria",2.13
"Jha, Shantenu",2.6
"Scott, Kimberly",2.67
Brown Philip,3.47
"Higgins, Kathryn",4.61
"Cuitino, Alberto",2.91
"Lynch, Jennifer",3.62
"Zhang, Yuqian",3.48
"Pham, Hoang",4.78
"Gursoy, Melike",2.13
"Ghofrani, Ali",4.66
"Mann, Adrian",1.94
"Norris, Andrew",2.98
"Shan, Jerry",3.77
"Drazer, German",2.57
"Malhotra, Rajiv",1.75
"Diez Garias, Francisco",2.0
"Mayer, Valerie",4.49
"Vazquez, Maribel",4.5
"Robbins, Jason",3.6
"Dignon, Gregory",4.91
"Liu, Meiyin",2.1
"Liu, Xiang",2.1
"Haghani, Sasan",3.52
"Jalali, Shirin",4.66
"Bajwa, Waheed U.",3.51
"Pepe, Russell",3.46
"Garrido, Luis",4.86
"Ramanathan, Shriram",4.54
"Reagan, Randall",4.03
"Mercurio, Steven",4.3
"Matthewson, John",4.45
"Sills, Ryan",4.3
"Gurvich, Mark",3.2
"Chundawat, Shishir",3.98
"Guo, Ashley",1.34
"Shapley, Nina",4.23
"Ogunkanmi, Anuoluwa",0.28
"Demetracopoulou, Vassiliki",3.83
"Lateef, Omer",4.87
"Kruger, Dov",3.49
"Raghunandan, Krishnamurthy",3.65
"Liu, Hang",2.1
"Zhang, Zhao",2.37
"Chung, Taerin",2.86
"Guirguis, Caroline",4.17
"Hubler, Jesse",4.31
"Reagan, Randy",4.03
"Yousefian, Farzad",0.0
"Reihani, Amin",3.86
"Shinbrot, Troy",1.82
"Roth, Charles",2.99
"Maikos, Jason",3.6
"Boustany, Nada",2.88
"Freeman, Joseph",2.99
"Hara, Masanori",2.94
"Neimark, Alexander",2.97
"Wang, Hao",2.91
"Gucunski, Nenad",2.75
"Christoforou, Chris",3.91
"Guo, Qizhong",3.51
"Lifrieri, Joseph",2.99
"Kliger, Howard",3.26
"Mandayam, Narayan",3.67
"Frenkiel, Richard",3.99
"Raychaudhuri, Dipankar",3.79
"Beskin, Anna",2.28
"Mozael, Mustafa",4.54
"Pinchiaroli, Michael",4.54
"Jeong, Myong-Kee",0.0
"Gilbert, Douglas",3.2
"Akdogan, Enver Koray",3.67
"Matthewson, Michael",4.72
"Saxena, Lakshmendra",4.36
"Kotelnikov, Alexei",3.94
"Farokh, Pedram",3.8
"Singh, Jeevanjot",2.31
"Nikolopoulos, Efthymios",4.8
"Yang, Guosong",1.32
"Liu, Xufei",2.1
"DeMauro, Edward",3.47
"Pedersen, Henrik",2.7
"Oathes, Tyler",3.92
"Al-Adhami, Hiba",2.07
"Bletsas, Aggelos",2.97
"Barillas, Katie",1.76
"Miller, Christopher",1.7
"Elsayed, Elsayed",2.0
"Coit, David",3.59
"Mercurio Jr, Steven",4.3
"Berg, Steven",4.3
