Professor,Rating
"Burns, Sandra",3.12
"Patel, Saiju",2.77
"Schwartz, Sharon",2.88
"Perkowski, James",1.54
"Collins, Eliot",2.59
"Romano, Alfred",2.6
"Mukherjee, Arun",4.12
"Khosla, Noopur",3.68
"Nazi, Ghassan",4.11
"Safran, Steven",3.84
"Benedict, Krista",4.47
"Lopes, Denise",3.5
"Vaksman, Sofia",3.72
"Arias, Cecilia",4.44
"Ross, Arianne",1.92
"Roemer, Cynthia",2.57
"Milman, Yevgeniy",3.63
"Sergel, Emily",4.46
"Sherwood, Deborah",3.97
"Forgoston, Sacha",4.28
"Lieberman, Melissa",4.07
"Beals, Robert",3.89
"Kinkhabwala, Rita",2.64
"Sprague, Gabriela",1.87
"Schwarz, Jeffrey",4.78
"Woo, Jeffrey",2.55
"Mulvey, Sally",2.91
"Morehead, Diane",3.09
"Patel, Dhansukh",3.44
"Amodio, James",3.9
"Unger, Laura",3.63
"Cochran, Geraldine",3.87
"Scheiman, David",2.83
"Frankie, Joseph",3.03
"Hirsch, Lewis",2.88
"Menke, Michael",4.07
"Abadir, Rasha",4.24
"Sarker, Shorab",3.17
"Tabanli, Sheila",3.82
"D'Alesandro, Anthony",2.41
"Goldberg, Richard",4.31
"Guadagni, Joseph",3.22
"Ning, Harold",1.91
"Threlfall, Shawn",4.11
"Grier, Toby",3.98
"Parmar, Davanjit",4.71
"Hafizi, Fatemeh",1.42
"Sargsyan, Grigor",1.39
"Cooney, Bernadette",4.09
"Charnley, Matthew",3.95
"Banerjee, Banmali",3.42
"Goonetilleke, Lasantha",3.37
"Hendricks, Kristen",3.85
"Bradley, Kristen",4.03
"Noone, Kevin",3.93
"Soffer, Sara",2.97
"Bahri Nunziante, Diana",3.99
"O'Halloran, Roger",2.16
"Krueger, August",0.0
"Prevost, Shari",3.11
"Coley, Ian",4.25
"Song, Jian",3.05
"Peterson, Stephen",4.01
"Wasserman, Eric",3.37
"Smythe, Iian",4.22
"Mischaikow, Konstantin",2.98
"Marszalek, Wieslaw",3.57
"Ullman, Peter",3.02
"Zurovchak, James",2.23
"Sesum, Natasa",3.39
"Cogar, Samuel",4.47
"Toprak, Ebru",3.64
"Sosa, Jose",2.18
"Barreto-Aranda, Victor",1.79
"Malik, Amita",2.1
"Kallupalam Balasubram, Moulik",3.07
"Shtelen, Vladimir",3.41
"Tsipenyuk, Natalya",2.51
"Echeverria Echeverria, Mariano",4.12
"Balaban, Tadeusz",3.28
"Sanchez Tapia, Cynthia",3.57
"Walker, Alexander",3.29
"Retakh, Vladimir",3.51
"Vogelius, Michael",2.27
"Wu, Chenxi",3.55
"Tiep, Pham",4.21
"Peruvemba Narayanan, Bhargav",1.85
"Mavrea, Ioanna",2.76
"Rong, Xiaochun",3.08
"Rota, Franco",4.11
"Perelman, Naum",1.93
"Chanillo, Sagun",2.27
"Ma, Man Shun",4.39
"Kan, Sophie",3.05
"Salamon, Joshua",3.9
"Carbone, Lisa",3.45
"Molnar, David",3.07
"Sussmann, Hector",1.56
"Woodward, Christopher",3.88
"Gui, Bin",3.88
"Mejia-Ramos, Juan",4.62
"Komlos, Janos",3.8
"Moeller, Sven",4.58
"Huang, Xiaojun",4.46
"Beck, Jozsef",3.03
"Kiessling, Michael",1.64
"Kepley, Shane",1.65
"Luo, Feng",3.49
"Xiao, Jingni",4.62
"Thomas, Simon",4.11
"Huang, Yi-Zhi",4.46
"Klatt, Brian",4.26
"Miller, Stephen",1.76
"Noh, Eunjung",3.63
"Queirolo, Elena",4.6
"Matveev, Konstantin",3.47
"Sahi, Siddhartha",2.31
"Soffer, Avraham",2.42
"Kopparty, Swastik",4.62
"Tunnell, Jerrold",2.42
"Weibel, Charles",1.4
"Burrin, Claire",3.33
"Gupta, Purvi",3.83
"Goldstein, Sheldon",3.25
"Cuello, William",4.02
"Pham, Triet",3.48
"Weston, Kimberly",4.29
"Reynolds, Guy",4.18
"Harris, Lynn",3.97
"Bifulco, Christina",3.1
"Uppuganti, Lakshmi Sowjanya",2.98
"Gonet, Sophia",3.09
"Sequin, Matthew",3.71
"Gulick, Debra",4.35
"Weingart, Michael",4.53
"Martorano, Paul",3.32
"Farro, Scott",3.89
"Kennedy, Joanne",1.62
"Kerrigan, John",4.49
"Mehta, Nishali",3.9
"Liu, Liping",2.22
"Bowles, Malcolm",4.25
"Vera, Laurent",4.36
"Lepowsky, James",2.23
"Vasquez, Jennifer",4.46
"Sun, Hao",2.3
"Scheffer, Vladimir",3.48
"Frizzell, Carrie",3.88
"Hovsepyan, Narek",2.9
"Zhang, Keyang",2.97
"Mirek, Mariusz",4.79
"Silverstein, Laura",3.16
"Gilat, Shira",3.46
"Ketover, Daniel",4.26
"Li, Chi",2.73
"Li, Zongyuan",4.2
"Kriventsov, Denis",3.79
"Jauslin, Ian",4.47
"Mondal, Priyadip",3.32
"Gunby, Benjamin",2.77
"Ali, Abid",1.54
"Cao, Yunbai",4.64
"Larsen, Kasper",4.51
"Cakoni, Fioralba",3.23
"Zeilberger, Doron",4.06
"Mckemmie, Eilidh",4.77
"Ling, Eric",3.37
"Sun, Yuhan",2.3
"Shi, Ziming",2.54
"Luo, Yanwen",3.71
"Lutsko, Christopher",3.9
"Smilansky, Yotam",3.97
"Dunkelman, Jodi",3.65
"Woodbury, Michael",1.84
"Grillo, Corey",4.65
"Jabbari, Mohammad",0.1
"Volpe, Tyler",4.83
"Ellis, Paul",2.64
"Cheng, Chiahui",2.79
"Mavrogiannis, Georgios",4.77
"Ma, Zilu",4.28
"Kontorovich, Alex",3.25
"Zhou, Zehui",2.77
"Soria Carro, Maria",2.99
"Sun, Hongbin",4.51
"Calderoni, Filippo",4.6
"Dul, Filip",4.85
"Han, Zheng-Chao",3.13
"Krishnan, Gautam Gopal",1.25
"Saks, Michael",2.36
"Stewart, Gavin",1.87
"Thieme, Cameron",4.74
"Chen, William",2.59
"Hejna, Agnieszka",4.93
"Dimitrov, Stoyan",4.13
"Borisov, Lev",2.66
"Cuadrado, Maria",2.99
"Ross Pathak, Arianne",1.92
"Schwarz, Jeff",4.78
"George, Michael",2.36
"Shah, Dr. Rajiv",0.86
"Lee, Jae Ki",4.73
"Martin, Shannon",4.52
"Xie, Junming",1.62
"Sequin, Matt",4.25
"Vinci, Sarina",4.73
"Yeung, Marc",0.5
"Stone, Corey",4.65
"Mallick, Abhishek",3.95
"Hallgren, Maximilien",2.79
"Rocha Vieira, Ewerton",2.72
"Gunby-Mann, Benjamin",2.77
"D'Elia, Elizabeth",2.83
"Khaitan, Ayush",3.41
"Kriventsov, Dennis",3.79
"Van De Moortel, Maxime",4.37
"Tobasco, Ian",4.47
"Zou, Jiahua",0.63
"Tahvildar-Zadeh, Shadi",3.03
"Alonso Lorenzo, Izar",3.86
"Benhamou, Tom",3.95
"Urtiaga Erneta, Inigo",2.68
"Spiro, Samuel",4.47
"Chan, Swee Hong",2.27
"Kwon, Heeyoung",3.05
"Bhuyan, Sue",3.78
"Ferguson, Brent",0.59
"Goswami, Rashmika",1.99
"Queiroz Velter, Mariana",4.79
"Du, Jishen",4.85
"Bahri, Mohamed El Hedi",3.99
"Wang, Jianxiong",4.52
"Leung, Wing Hong",4.26
"Goonetilleke, Las",3.37
"Sinapova, Dima",2.97
"Nair, Gokul",2.49
"Rao, Zhenghao",2.42
"Carlen, Eric",3.44
"Zhang, Wujun",4.23
"Li, Yanyan",3.87
"Fuzeto Gameiro, Marcio",3.04
"Xu, Guangbo",4.44
"Sangam, Karuna",2.98
