Professor,Rating
"Hughes, John",3.54
"Jerez, Andres",3.93
"Cochran, Geraldine",4.25
"Lath, Amitabh",3.07
"Friedan, Daniel",2.44
"Zamick, Larry",2.66
"Diaconescu, Duiliu",2.88
"Chandra, Premala",2.75
"Kloet, Willem",4.46
"Wakim, David",4.38
"Gentile, Michael",3.93
"Chishti, Shumaila",2.73
"Ruggieri, Charles",4.31
"Eisenchmied, Alexander",3.48
"Rajabi, Samira",4.19
"Lee, Brian",4.18
"Wang, Hao",2.91
"Mastbaum, Andrew",4.06
"Gershenson, Michael",4.03
"Rabe, Karin",3.99
"Townsend, Peter",2.5
"Mckeegan, Jeremy",2.49
"Geiko, Aleksandra",3.69
"Kiryukhin, Valery",3.5
"Chou, John",3.39
"Lee, Sang-Hyuk",3.93
"Blumberg, Girsh",3.38
"Schnetzer, Stephen",3.95
"Podzorov, Vitaly",4.68
"Buckley, Matthew",4.28
"Wu, Weida",3.46
"Salur, Sevil",4.24
"Oh, Seongshik",2.27
"Jackson, Rebecca",4.11
"Chant, Robert",3.22
"Sengupta, Anirvan",3.5
"Croft, Mark",2.45
"Baker, Andrew",4.24
"Gawiser, Eric",4.48
"Halkiadakis, Eva",3.18
"Makowski, Patrick",3.68
"Brahmia, Abdelbaki",3.28
"Khan, Hamza",4.79
"Bunkowski, Klaudia",4.49
"Mainiero, Thomas",2.98
"Chakhalian, Jak",2.99
"Neuberger, Herbert",3.77
"Chou, John Paul",3.39
"Haule, Kristjan",4.7
"Kabir, Adeeb",3.93
"Pixley, Jedediah",4.74
"Andrei, Eva",2.79
"Mcquinn, Kristen",4.32
"Keeton, Charles",4.34
"Gershtein, Yuri",3.86
"Cizewski, Jolie",1.99
"Somalwar, Sunil",4.5
"Zimmermann, Frank",2.7
"Montalvo, Grace",3.6
"Koft, Julie",4.8
"Baker, John",4.59
"Shang, Fangze",4.03
"Bhanot, Gyan",3.01
"Zanzoul, Sarah",3.25
"Zhakenova, Yelena",1.83
"Bartynski, Robert",3.45
"Hijazi, Hussein",2.42
"Roy, Ananda",3.6
"Burkhart, Blakesley",4.58
"Vanderbilt, David",3.38
"Mysore, Sachin",4.93
"Akhtar, Aimun",2.15
"Falcone, Nicole",4.54
"Chainani, Shailendra",3.16
"Mendelsohn, Eric",4.76
"Miller, James",3.94
"Andrei, Natan",2.79
"Jha, Saurabh",4.73
"Webb, Trinity",1.51
"Brooks, Alyson",4.31
"Lee, June",4.73
"Young, Benjamin",2.77
"Yazigi, Justin",3.96
"Rechani, Phillip",4.37
"Finley, Jacqueline",4.57
"Cheong, Sang-Wook",3.46
"McQuinn, Kristen",4.32
"Prince, Heather",3.66
