Professor,Rating
Geeta Govindarajoo,2.78
Leslie Jimenez,2.03
Robert Boikess,2.24
Manese Rabeony,3.94
Lipika Roychowdhury,2.85
Sanhita Pramanik,2.56
Emmanuel Hove,2.64
Vandana Khurana,4.7
Chandima Abeywickrama,2.42
Harpal Sangari,3.09
Francesca Guerra,3.31
Seema Sahni,4.41
Gangotri Dey,2.01
Paul Orbe,4.63
Bryan Langowski,3.75
Anna Kornienko,2.77
Robert Porcja,3.58
Thomas Drwiega,4.24
Paul Kimmel,2.2
Tatiana Fadeeva,2.98
Darrin York,3.37
Kiranjot Sethi,3.09
Nirmala Shankar,3.62
Michael Vitarelli,4.06
Heinz Roth,2.0
Ralf Warmuth,3.55
Hongmei Zhang,2.69
Patrick O'Connor,3.84
Christine Altinis,3.38
John Taylor,4.23
Lawrence Williams,3.95
Barbara Hinch,1.39
Gene Hall,1.83
Yeunggyo Shin,2.78
Mary Emenike,4.84
Jeehiun Lee,4.8
Zheng Shi,1.25
Edward Arnold,2.78
Jayati Halder,4.77
Marc Muniz,4.57
Kim-Phuong Le,3.47
Denise Cullerton,4.72
Gerard Dismukes,1.05
Tewodros Asefa,4.26
Martha Greenblatt,1.55
Kate Waldie,4.6
Mark Lipke,3.04
Remsing Richard,4.34
Yeung-Gyo Shin,2.78
Rijo Urakath,4.51
Jianyuan Zhang,3.48
Andrew Nieuwkoop,4.88
Deirdre O'Carroll,4.04
David Case,4.3
Sagar Khare,3.43
Setareh Marvasti,3.34
Spencer Knapp,2.57
Yuwei Gu,4.26
Eddy Arnold,2.78
Enver Izgu,3.99
Rohan Khan,3.65
Rick Remsing,4.34
Jean Rivera Rios,4.78
