Professor,Rating
Name,2.5
Frances Trees,3.21
Alan Belowich,3.37
Jt Chirco,3.1
Centeno Ana Paula,4.08
Ananda Gunawardena,3.22
Juan Zhai,2.84
David Menendez,2.71
Seshadri Venugopal,2.64
Guillermo Fuentes,2.68
Konstantinos Michmizos,3.83
Santosh Nagarakatte,4.15
Daniel Hidalgo,4.12
William Steiger,2.65
Daniel Balouek-Thomert,4.31
Antonio Miranda Garcia,1.62
Sepehr Assadi,4.61
Lily Chang,2.97
Desheng Zhang,2.42
Badri Nath,2.25
Paul Krzyzanowski,3.79
Abdeslam Boularias,4.36
Matthew Stone,1.78
Jingjin Yu,3.4
Casimir Kulikowski,2.52
Douglas Motto,2.97
Ana Centeno,4.08
Amelie Marian,3.07
Arnold Lau,4.34
John Hajdu,3.78
Jie Gao,3.69
Charles Cowan,3.76
John-Austen Francisco,2.56
Zheng Zhang,2.31
Ahmed Elgammal,2.12
Tomasz Imielinski,1.78
Yongfeng Zhang,4.23
Martin Farach-Colton,3.55
Richard Martin,2.15
Shiqing Ma,2.5
Mubbasir Kapadia,3.45
Dong Deng,3.04
Eric Allender,2.79
Kostas Bekris,2.33
Ana Paula Centeno,4.08
Sesh Venugopal,2.64
Peng Zhang,1.52
Aaron Bernstein,4.18
Srinivas Narayana Ganapathy,4.09
Yipeng Huang,3.67
Arnab Karmakar,3.66
Jack Mardekian,2.21
He Zhu,3.8
Mridul Aanjaneya,3.57
Karthik Srikanta,3.98
Karl Stratos,2.3
Daniel Schoepflin,4.55
James Abello Monedero,2.15
Surya Teja Gavva,4.17
Abraham Gale,1.86
Mario Szegedy,3.59
Sudarsun Kannan,3.37
Hao Wang,3.28
Ulrich Kremer,3.32
Xiong Fan,2.48
Qiong Zhang,4.8
Sumegha Garg,3.57
Samaneh Gholizadeh Hamidi,2.15
