Professor,Rating
Name,2.5
Ilker Hacihaliloglu,4.67
George Shoane,1.48
Biju Parekkadan,2.44
Kristen Labazzo,4.79
Mark Pierce,3.2
Francois Berthiaume,1.87
David Shreiber,3.59
Gary Drzewiecki,4.28
Jay Sy,3.71
William Craelius,2.52
Noshir Langrana,3.13
Li Cai,2.83
Adam Gormley,4.36
Jeffrey Zahn,2.67
Helen Buettner,3.36
Maria Tomassone,3.95
Ioannis Androulakis,3.21
Yee Chiew,3.7
Alex Bertuccio,3.84
Rohit Ramachandran,1.51
Fuat Celik,2.44
Hani Nassif,2.06
Alfred Brenner,4.51
Yook-Kong Yong,2.95
Monica Mazurek,1.87
Nicole Fahrenfeld,4.15
Franklin Moon,4.75
Robert Miskewitz,3.23
Hana Godrich,4.47
Richard Mammone,2.83
Michael Caggiano,3.29
Athina Petropulu,1.73
Grigore Burdea,2.73
Sophocles Orfanidis,2.57
Anand Sarwate,3.72
Mehdi Javanmard,3.11
Sehajpal Sumati,2.72
McGarvey John,4.45
Zoran Gajic,3.0
Dario Pompili,1.56
Wade Trappe,4.12
Umer Hassan,3.52
Predrag Spasojevic,2.7
Waheed Uz Zaman Bajwa,3.35
Striki Maria,2.13
Ivan Marsic,2.6
Laleh Najafizadeh,4.05
Kristin Dana,3.18
Bo Yuan,3.85
Emina Soljanin,2.18
Jorge Ortiz,2.32
Phillip Southard,2.39
Philip Brown,3.47
Jean Patrick Antoine,4.28
Mitsunori Denda,2.5
Annalisa Scacchioli,2.64
Kimberly Cook Chennault,2.67
William Bottega,2.92
Harold Bennett,1.78
Won-Jong Rhee,3.17
Eric Rosenberg,2.47
Weihong Guo,3.47
Elin Wicks,4.27
Zhimin Xi,2.59
Mohsen Jafari,2.77
Susan Albin,3.66
Tugrul Ozel,3.14
E Elsayed,1.99
Laura Fabris,3.98
Ahmad Safari,2.8
Lisa Klein,3.61
Ashutosh Goel,4.95
Enver Akdogan,3.52
Dunbar Birnie,4.0
Thomas Tsakalakos,3.4
Edward Demauro,3.47
George Weng,2.43
Prosenjit Bagchi,3.32
Aaron Mazzeo,2.4
Xi Gu,3.43
Hao Lin,2.99
Hae Gea,2.8
Jingang Yi,2.38
Qingze Zou,0.63
Jonathan Singer,3.09
Haim Baruh,2.94
Haym Benaroya,4.54
Michael Muller,4.12
Purusottam Mookerjee,4.35
Onur Bilgen,1.88
Zhixiong Guo,2.09
Yuebin Guo,2.4
Yogesh Jaluria,3.89
Doyle Knight,3.25
Howon Lee,4.15
Assimina Pelegri,3.2
Stephen Tse,2.9
Todd Rossi,2.99
Ruoqian Wang,3.17
Perumalsamy Balaguru,3.78
Husam Najm,4.01
John Mcgarvey,4.45
Sheng Wei,1.99
Salim El Rouayheb,3.08
Saman Aliari Zonouz,1.99
Yicheng Lu,3.06
Sumati Sehajpal,2.72
Ortiz Jorge,2.32
Maria Striki,2.13
Shantenu Jha,2.6
Brown Philip,3.47
Alberto Cuitino,2.91
Jennifer Lynch,3.82
Hoang Pham,4.78
Melike Gursoy,2.13
Ali Ghofrani,4.66
Adrian Mann,1.94
Andrew Norris,2.98
Jerry Shan,3.77
German Drazer,2.57
Rajiv Malhotra,1.75
Francisco Diez Garias,2.0
Gregory Dignon,4.91
Meiyin Liu,1.57
Sasan Haghani,3.74
Waheed U. Bajwa,3.35
Russell Pepe,4.13
Randall Reagan,3.65
Mark Gurvich,1.71
Shishir Chundawat,3.98
Nina Shapley,4.23
Omer Lateef,4.87
Dov Kruger,3.55
Zhao Zhang,2.67
Randy Reagan,3.65
Amin Reihani,3.86
Troy Shinbrot,1.82
Nada Boustany,2.88
Joseph Freeman,2.99
Masanori Hara,2.94
Hao Wang,2.91
Nenad Gucunski,2.75
Qizhong Guo,3.51
Howard Kliger,3.26
Narayan Mandayam,3.67
Myong-Kee Jeong,0.0
Enver Koray Akdogan,3.52
Michael Matthewson,4.72
Jeevanjot Singh,2.31
Edward DeMauro,3.47
Elsayed Elsayed,1.99
Nikolaos Napoleon Vlassis,4.41
