Professor,Rating
Sandra Burns,3.12
Saiju Patel,2.6
Sharon Schwartz,2.88
James Perkowski,1.54
Eliot Collins,2.59
Alfred Romano,2.6
Arun Mukherjee,4.12
Noopur Khosla,3.68
Ghassan Nazi,4.11
Steven Safran,3.73
Krista Benedict,4.47
Denise Lopes,3.5
Sofia Vaksman,3.72
Cecilia Arias,4.44
Arianne Ross,1.92
Cynthia Roemer,2.57
Emily Sergel,4.46
Deborah Sherwood,3.97
Sacha Forgoston,4.28
Melissa Lieberman,4.19
Robert Beals,3.56
Rita Kinkhabwala,2.97
Gabriela Sprague,1.87
Jeffrey Schwarz,4.78
Sally Mulvey,2.89
Diane Morehead,3.11
Dhansukh Patel,3.44
James Amodio,3.73
Laura Unger,3.63
Geraldine Cochran,4.25
David Scheiman,2.95
Joseph Frankie,3.03
Lewis Hirsch,1.76
Michael Menke,4.07
Rasha Abadir,4.24
Sheila Tabanli,3.9
Anthony D'Alesandro,2.41
Joseph Guadagni,3.49
Harold Ning,1.65
Toby Grier,3.98
Fatemeh Hafizi,1.42
Grigor Sargsyan,1.39
Bernadette Cooney,4.09
Matthew Charnley,3.95
Banmali Banerjee,3.43
Lasantha Goonetilleke,3.38
Kristen Hendricks,3.85
Kevin Noone,4.18
Sara Soffer,3.38
Diana Bahri Nunziante,3.35
Roger O'Halloran,1.82
August Krueger,0.0
Shari Prevost,3.11
Ian Coley,4.25
Jian Song,3.05
Stephen Peterson,3.96
Iian Smythe,4.22
Konstantin Mischaikow,2.98
Peter Ullman,3.19
Natasa Sesum,3.39
Samuel Cogar,4.47
Ebru Toprak,3.64
Jose Sosa,2.31
Victor Barreto-Aranda,1.79
Amita Malik,2.1
Moulik Kallupalam Balasubram,3.56
Vladimir Shtelen,3.61
Natalya Tsipenyuk,2.51
Mariano Echeverria Echeverria,4.13
Tadeusz Balaban,3.28
Cynthia Sanchez Tapia,3.57
Alexander Walker,3.29
Vladimir Retakh,3.51
Michael Vogelius,2.27
Chenxi Wu,3.55
Pham Tiep,4.21
Bhargav Peruvemba Narayanan,1.85
Ioanna Mavrea,2.9
Xiaochun Rong,3.08
Franco Rota,4.11
Naum Perelman,2.19
Sagun Chanillo,2.27
Man Shun Ma,4.39
Sophie Kan,3.05
Joshua Salamon,3.87
Lisa Carbone,3.45
David Molnar,2.98
Hector Sussmann,1.56
Christopher Woodward,3.88
Juan Mejia-Ramos,4.43
Janos Komlos,2.69
Sven Moeller,4.58
Xiaojun Huang,4.46
Jozsef Beck,3.03
Michael Kiessling,1.64
Shane Kepley,1.65
Feng Luo,3.49
Jingni Xiao,4.62
Simon Thomas,4.11
Yi-Zhi Huang,2.95
Brian Klatt,4.26
Eunjung Noh,3.63
Konstantin Matveev,3.47
Siddhartha Sahi,2.31
Avraham Soffer,2.42
Swastik Kopparty,4.62
Jerrold Tunnell,2.42
Charles Weibel,1.4
Claire Burrin,3.33
Purvi Gupta,3.83
Sheldon Goldstein,3.25
William Cuello,4.02
Triet Pham,3.48
Kimberly Weston,4.29
Guy Reynolds,4.18
Lynn Harris,3.97
Christina Bifulco,3.38
Sophia Gonet,3.11
Matthew Sequin,3.67
Debra Gulick,4.35
Michael Weingart,4.54
Joanne Kennedy,1.62
John Kerrigan,4.46
Nishali Mehta,3.77
Liping Liu,2.22
Malcolm Bowles,4.26
Laurent Vera,4.42
James Lepowsky,3.25
Jennifer Vasquez,4.46
Vladimir Scheffer,3.88
Carrie Frizzell,3.88
Narek Hovsepyan,2.9
Mariusz Mirek,4.79
Laura Silverstein,3.17
Shira Gilat,3.46
Daniel Ketover,4.26
Chi Li,2.73
Zongyuan Li,4.2
Denis Kriventsov,3.16
Ian Jauslin,4.47
Priyadip Mondal,3.32
Benjamin Gunby,2.77
Abid Ali,1.54
Yunbai Cao,4.64
Kasper Larsen,4.51
Fioralba Cakoni,3.23
Doron Zeilberger,3.96
Eilidh Mckemmie,4.77
Eric Ling,3.37
Yuhan Sun,2.3
Ziming Shi,2.54
Yanwen Luo,3.71
Christopher Lutsko,3.9
Yotam Smilansky,3.97
Jodi Dunkelman,3.65
Michael Woodbury,2.24
Mohammad Jabbari,0.1
Tyler Volpe,4.83
Paul Ellis,2.64
Georgios Mavrogiannis,4.79
Zilu Ma,4.18
Alex Kontorovich,3.25
Zehui Zhou,2.77
Maria Soria Carro,2.99
Hongbin Sun,4.51
Filip Dul,4.85
Zheng-Chao Han,3.06
Gautam Gopal Krishnan,1.25
Agnieszka Hejna,4.47
Stoyan Dimitrov,4.13
Lev Borisov,2.66
Maria Cuadrado,2.2
Arianne Ross Pathak,1.92
Jeff Schwarz,4.78
Jae Ki Lee,4.73
Junming Xie,1.62
Corey Stone,4.56
Abhishek Mallick,2.32
Benjamin Gunby-Mann,2.77
Dennis Kriventsov,3.16
Maxime Van De Moortel,4.37
Jiahua Zou,2.38
Shadi Tahvildar-Zadeh,3.03
Izar Alonso Lorenzo,3.58
Tom Benhamou,1.44
Inigo Urtiaga Erneta,2.28
Samuel Spiro,3.8
Swee Hong Chan,3.2
Brent Ferguson,0.53
Rashmika Goswami,1.99
Mohamed El Hedi Bahri,3.99
Las Goonetilleke,3.38
Dima Sinapova,2.97
Zhenghao Rao,2.42
Eric Carlen,3.44
Wujun Zhang,3.19
Yanyan Li,2.49
Marcio Fuzeto Gameiro,2.63
Guangbo Xu,1.44
