Professor,Rating
John Hughes,3.54
Andres Jerez,3.93
Geraldine Cochran,4.25
Amitabh Lath,3.07
Daniel Friedan,4.26
Larry Zamick,2.66
Duiliu Diaconescu,2.88
Premala Chandra,2.75
Willem Kloet,4.46
Michael Gentile,3.94
Charles Ruggieri,4.31
Brian Lee,4.18
Hao Wang,2.91
Roy Montalvo,3.6
Michael Gershenson,3.6
Karin Rabe,3.99
Valery Kiryukhin,3.5
John Chou,3.39
Stephen Schnetzer,3.95
Vitaly Podzorov,4.68
Matthew Buckley,4.28
Weida Wu,3.46
Sevil Salur,4.24
Seongshik Oh,2.27
Mark Croft,2.45
Andrew Baker,4.24
Eric Gawiser,4.48
Eva Halkiadakis,3.18
Patrick Makowski,3.68
Abdelbaki Brahmia,3.28
Jak Chakhalian,2.99
John Paul Chou,3.39
Eva Andrei,2.79
Kristen Mcquinn,4.32
Charles Keeton,4.34
Yuri Gershtein,3.86
Jolie Cizewski,1.99
Sunil Somalwar,4.5
Frank Zimmermann,2.7
Gyan Bhanot,3.01
Robert Bartynski,3.47
David Vanderbilt,3.38
Saurabh Jha,4.73
Alyson Brooks,4.31
Srivatsan Chakram Sundar,2.11
Sang-Wook Cheong,3.46
Kristen McQuinn,4.32
